,level_0,index,StringText,Titles
26,992,ch27pa01,"
Character and conduct of the emperor Gratian (A.D. 379-383)
The fame of Gratian, before he had accomplished the twentieth year of his age, was equal to that of the most celebrated princes.
His gentle and amiable disposition endeared him to his private friends, the graceful affability of his manners engaged the affection of the people: the men of letters, who enjoyed the liberality, acknowledged the taste and eloquence, of their sovereign; his valour and dexterity in arms were equally applauded by the soldiers; and the clergy considered the humble piety of Gratian as the first and most useful of his virtues.
The victory of Colmar had delivered the West from a formidable invasion; and the grateful provinces of the East ascribed the merits of Theodosius to the author of his greatness and of the public safety.
Gratian survived those memorable events only four or five years; but he survived his reputation; and, before he fell a victim to rebellion, he had lost, in a great measure, the respect and confidence of the Roman world.
","Death of Gratian Ruin of Arianism St. Ambrose First Civil War, against Maximus Character, Administration, and Penance of Theodosius Death of Valentinian II. Second Civil War, against Eugenius Death of Theodosius"
27,1024,ch28pa01,"
The destruction of the Pagan religion, A.D. 378-395
The ruin of Paganism, in the age of Theodosius, is perhaps the only example of the total extirpation of any ancient and popular superstition; and may therefore deserve to be considered as a singular event in the history of the human mind.
The Christians, more especially the clergy, had impatiently supported the prudent delays of Constantine and the equal toleration of the elder Valentinian; nor could they deem their conquest perfect or secure, as long as their adversaries were permitted to exist.
The influence which Ambrose and his brethren had acquired over the youth of Gratian and the piety of Theodosius was employed to infuse the maxims of persecution into the breasts of their Imperial proselytes.
Two specious principles of religious jurisprudence were established, from whence they deduced a direct and rigorous conclusion against the subjects of the empire who still adhered to the ceremonies of their ancestors: that the magistrate is, in some measure, guilty of the crimes which he neglects to prohibit or to punish; and, that the idolatrous worship of fabulous deities and real demons is the most abominable crime against the supreme majesty of the Creator.
The laws of Moses and the examples of Jewish history were hastily, perhaps erroneously, applied by the  clergy to the mild and universal reign of Christianity.
The zeal of the emperors was excited to vindicate their own honour, and that of the Deity; and the temples of the Roman world were subverted, about sixty years after the conversion of Constantine.
","Final Destruction of Paganism Introduction of the Worship of Saints, and Relics, among the Christians"
28,1040,ch29pa01,"
Division of the empire between Arcadius and Honorius, A.D. 395, January 17.
The genius of Rome expired with Theodosius; the last of the successors of Augustus and Constantine, who appeared in the field at the head of their armies, and whose authority was universally acknowledged throughout the whole extent of the empire.
The memory of his virtues still continued, however, to protect the feeble and inexperienced youth of his two sons.
After the death of their father, Arcadius and Honorius were saluted, by the unanimous consent of mankind, as the lawful emperors of the East, and of the West; and the oath of fidelity was eagerly taken by every order of the state; the senates of old and new Rome, the clergy, the magistrates, the soldiers, and the people.
Arcadius, who then was about eighteen years of age, was born in Spain, in the humble habitation of a private family.
But he received a princely education in the palace of Constantinople; and his inglorious life was spent in that peaceful and splendid seat of royalty, from whence he appeared to reign over the provinces of Thrace, Asia Minor, Syria, and Egypt, from the Lower Danube to the confines of Persia and Aethiopia.
His younger brother, Honorius, assumed, in the eleventh year of his age, the nominal government of Italy, Africa, Gaul, Spain, and Britain; and the troops which guarded the frontiers of his kingdom were opposed, on one side, to the Caledonians, and on the other, to the Moors.
The great and martial prefecture of Illyricum was divided between the two princes; the  defence and possession of the provinces of Noricum, Pannonia, and Dalmatia still belonged to the Western empire; but the two large dioceses of Dacia and Macedonia, which Gratian had entrusted to the valour of Theodosius, were for ever united to the empire of the East.
The boundary in Europe was not very different from the line which now separates the Germans and the Turks; and the respective advantages of territory, riches, populousness, and military strength were fairly balanced and compensated in this final and permanent division of the Roman empire.
The hereditary sceptre of the sons of Theodosius appeared to be the gift of nature, and of their father; the generals and ministers had been accustomed to adore the majesty of the royal infants; and the army and people were not admonished of their rights and of their power by the dangerous example of a recent election.
The gradual discovery of the weakness of Arcadius and Honorius, and the repeated calamities of their reign, were not sufficient to obliterate the deep and early impressions of loyalty.
The subjects of Rome, who still reverenced the persons or rather the names of their sovereigns, beheld, with equal abhorrence, the rebels who opposed, and the ministers who abused, the authority of the throne.
",Final Division of the Roman Empire between the Sons of Theodosius Reign of Arcadius and Honorius Administration of Rufinus and Stilicho Revolt and Defeat of Gildo in Africa
29,1052,ch30pa01,"
Revolt of the Goths, A.D. 395
If the subjects of Rome could be ignorant of their obligations to the great Theodosius, they were too soon convinced how painfully the spirit and abilities of their deceased emperor had supported the frail and mouldering edifice of the republic.
He died in the month of January; and before the end of the winter of the same year the Gothic nation was in arms.
The Barbarian auxiliaries erected their independent standard; and boldly avowed the hostile designs which they had long cherished in their ferocious minds.
Their countrymen, who had been condemned by the conditions of the last treaty to a life of tranquillity and labour, deserted their farms at the first sound of the trumpet, and eagerly resumed the weapons which they had reluctantly laid down.
The barriers of the Danube were thrown open; the savage warriors of Scythia issued from their forests; and the uncommon severity of the winter allowed the poet to remark that they rolled their ponderous waggons over the broad and icy back of the indignant river.
The unhappy natives of the  provinces to the south of the Danube submitted to the calamities which, in the course of twenty years, were almost grown familiar to their imagination; and the various troops of Barbarians who gloried in the Gothic name were irregularly spread from the woody shores of Dalmatia to the walls of Constantinople.
The interruption, or at least the diminution, of the subsidy which the Goths had received from the prudent liberality of Theodosius was the specious pretence of their revolt; the affront was embittered by their contempt for the unwarlike sons of Theodosius; and their resentment was inflamed by the weakness or treachery of the minister of Arcadius.
The frequent visits of Rufinus to the camp of the Barbarians, whose arms and apparel he affected to imitate, were considered as a sufficient evidence of his guilty correspondence: and the public enemy, from a motive either of gratitude or of policy, was attentive, amidst the general devastation, to spare the private estates of the unpopular prefect.
The Goths, instead of being impelled by the blind and headstrong passions of their chiefs, were now directed by the bold and artful genius of Alaric.
That renowned leader was descended from the noble race of the Balti; which yielded only to the royal dignity of the Amali: he had solicited the command of the Roman armies; and the Imperial  court provoked him to demonstrate the folly of their refusal and the importance of their loss.
Whatever hopes might be entertained of the conquest of Constantinople, the judicious general soon abandoned an impracticable enterprise.
In the midst of a divided court and a discontented people, the emperor Arcadius was terrified by the aspect of the Gothic arms; but the want of wisdom and valour was supplied by the strength of the city; and the fortifications, both of the sea and land, might securely brave the impotent and random darts of the Barbarians.
Alaric disdained to trample any longer on the prostrate and ruined countries of Thrace and Dacia, and he resolved to seek a plentiful harvest of fame and riches in a province which had hitherto escaped the ravages of war.
",Revolt of the Goths They plunder Greece Two great Invasions of Italy by Alaric and Radagaisus They are repulsed by Stilicho The Germans overrun Gaul Usurpation of Constantine in the West Disgrace and Death of Stilicho
30,1079,ch31pa01,"
Weakness of the court of Ravenna, A.D. 408, September
The incapacity of a weak and distracted government may often assume the appearance, and produce the effects, of a treasonable correspondence with the public enemy.
If Alaric himself had been introduced into the council of Ravenna, he would probably have advised the same measures which were actually pursued by the ministers of Honorius.
The king of the Goths would have conspired, perhaps with some reluctance, to destroy the formidable adversary by whose arms, in Italy as well as in Greece, he had been twice overthrown. Their active and interested hatred laboriously accomplished the disgrace and ruin of the great Stilicho.
The valour of Sarus, his fame in arms, and his personal, or hereditary, influence over the confederate Barbarians could recommend him only to the friends of their country, who despised, or detested, the worthless characters of Turpilio, Varanes, and Vigilantius.
By the pressing instances of the new favourites, these generals, unworthy as they had shewn themselves of the name of soldiers, were promoted to the command of the cavalry, of the infantry, and of the domestic troops.
The Gothic prince  would have subscribed with pleasure the edict which the fanaticism of Olympius dictated to the simple and devout emperor.
Honorius excluded all persons who were adverse to the catholic church from holding any office in the state; obstinately rejected the service of all those who dissented from his religion; and rashly disqualified many of his bravest and most skilful officers, who adhered to the Pagan worship, or who had imbibed the opinions of Arianism.
These measures, so advantageous to an enemy, Alaric would have approved, and might perhaps have suggested; but it may seem doubtful whether the Barbarian would have promoted his interest at the expense of the inhuman and absurd cruelty which was perpetrated by the direction, or at least with the connivance, of the Imperial ministers.
The foreign auxiliaries who had been attached to the person of Stilicho lamented his death; but the desire of revenge was checked by a natural apprehension for the safety of their wives and children; who were detained as hostages in the strong cities of Italy, where they had likewise deposited their most valuable effects.
At the same hour, and as if by a common signal, the cities of Italy were polluted by the same horrid scenes of universal massacre and pillage, which involved, in promiscuous destruction, the families and fortunes of the Barbarians.
Exasperated by such an injury, which might have awakened the tamest and most servile spirit, they cast a look of indignation and hope towards the camp of Alaric, and unanimously swore to pursue, with just and implacable war, the perfidious nation that had so basely violated the laws of hospitality.
By the imprudent conduct of the ministers of Honorius, the republic lost the assistance, and deserved the enmity, of thirty thousand of her bravest soldiers; and the weight of that formidable  army, which alone might have determined the event of the war, was transferred from the scale of the Romans into that of the Goths.
",Invasion of Italy by Alaric Manners of the Roman Senate and People Rome is thrice besieged and at length pillaged by the Goths Death of Alaric The Goths evacuate Italy Fall of Constantine Gaul and Spain are occupied by the Barbarians Independence of Britain
31,1122,ch32pa01,"
The Empire of the East, A.D. 395-1453. Reign of Arcadius. A.D. 395-408.
The division of the Roman world between the sons of Theodosius marks the final establishment of the empire of the East, which, from the reign of Arcadius to the taking of Constantinople by the Turks, subsisted one thousand and fifty-eight years, in a state of premature and perpetual decay.
The sovereign of that empire assumed, and obstinately retained, the vain, and at length fictitious, title of Emperor of the Romans; and the hereditary appellations of Caesar and Augustus continued to declare that he was the legitimate successor of the first of men, who had reigned over the first of nations.
The palace of Constantinople rivalled, and perhaps excelled, the magnificence of Persia; and the eloquent sermons of St. Chrysostom celebrate, while they condemn, the pompous luxury of the reign of Arcadius.
The emperor, says he, wears on his head either a diadem or a crown of gold, decorated with precious stones of inestimable  value.
These ornaments and his purple garments are reserved for his sacred person alone; and his robes of silk are embroidered with the figures of golden dragons.
His throne is of massy gold.
Whenever he appears in public, he is surrounded by his courtiers, his guards, and his attendants.
Their spears, their shields, their cuirasses, the bridles and trappings of their horses, have either the substance or the appearance of gold; and the large splendid boss in the midst of their shield is encircled with smaller bosses, which represent the shape of the human eye.
The two mules that draw the chariot of the monarch are perfectly white, and shining all over with gold.
The chariot itself, of pure and solid gold, attracts the admiration of the spectators, who contemplate the purple curtains, the snowy carpet, the size of the precious stones, and the resplendent plates of gold, that glitter as they are agitated by the motion of the carriage.
The Imperial pictures are white on a blue ground; the emperor appears seated on his throne, with his arms, his horses, and his guards beside him; and his vanquished enemies in chains at his feet.
The successors of Constantine established their perpetual residence in the royal city which he had erected on the verge of Europe and Asia.
Inaccessible to the menaces of their enemies, and perhaps to the complaints of their people, they received, with each wind, the tributary productions of every climate; while the impregnable strength of their capital continued for ages to defy the hostile attempts of the Barbarians.
Their dominions were bounded by the Hadriatic and Tigris; and the whole interval of twenty-five days' navigation, which separated the extreme cold of Scythia from the torrid zone of Ethiopia,  was comprehended within the limits of the empire of the East.
The populous countries of that empire were the seat of art and learning, of luxury and wealth; and the inhabitants, who had assumed the language and manners of Greeks, styled themselves, with some appearance of truth, the most enlightened and civilised portion of the human species.
The form of government was a pure and simple monarchy; the name of the Roman Republic, which so long preserved a faint tradition of freedom, was confined to the Latin provinces; and the princes of Constantinople measured their greatness by the servile obedience of their people.
They were ignorant how much this passive disposition enervates and degrades every faculty of the mind.
The subjects, who had resigned their will to the absolute commands of a master, were equally incapable of guarding their lives and fortunes against the assaults of the Barbarians or of defending their reason from the terrors of superstition.
","Arcadius Emperor of the East Administration and Disgrace of Eutropius Revolt of Gainas Persecution of St. John Chrysostom Theodosius II. Emperor of the East His Sister Pulcheria His Wife Eudocia The Persian War, and Division of Armenia"
32,1142,ch33pa01,"
Last years and death of Honorius, A.D. 423, August 27
During a long and disgraceful reign of twenty-eight years, Honorius, emperor of the West, was separated from the friendship of his brother, and afterwards of his nephew, who reigned over the East; and Constantinople beheld, with apparent indifference and secret joy, the calamities of Rome.
The strange adventures of Placidia gradually renewed and cemented the alliance of the two empires.
The daughter of the great Theodosius had been the captive and the queen of the Goths; she lost an affectionate husband; she was dragged in chains by his insulting assassin; she tasted the pleasure of revenge, and was exchanged, in the treaty of peace, for six hundred thousand measures of wheat.
After her return from Spain to Italy, Placidia experienced a new persecution in the bosom of her family.
She was averse to a marriage which had been stipulated without her consent; and the brave Constantius, as a noble reward for the tyrants whom he had vanquished, received, from the hand of Honorius himself, the struggling and reluctant hand of the widow of Adolphus.
But her resistance ended with the ceremony of the nuptials; nor did Placidia refuse to become the mother of Honoria and Valentinian the Third, or to assume and exercise an absolute dominion over the mind of her grateful husband.
The generous soldier, whose time had hitherto been divided between social pleasure and military service, was taught new lessons of avarice and ambition; he extorted  the title of Augustus; and the servant of Honorius was associated to the empire of the West.
The death of Constantius, in the seventh month of his reign, instead of diminishing, seemed to increase, the power of Placidia; and the indecent familiarity of her brother, which might be no more than the symptoms of a childish affection, were universally attributed to incestuous love.
On a sudden, by some base intrigues of a steward and a nurse, this excessive fondness was converted into an irreconcilable quarrel; the debates of the emperor and his sister were not long confined within the walls of the palace; and, as the Gothic soldiers adhered to their queen, the city of Ravenna was agitated with bloody and dangerous tumults, which could only be appeased by the forced or voluntary retreat of Placidia and her children.
The royal exiles landed at Constantinople, soon after the marrige of Theodosius, during the festival of the Persian victories.
They were treated with kindness and magnificence; but, as the statues of the emperor Constantius had been rejected by the Eastern court, the title of Augusta could not decently be allowed to his widow.
Within a few months after the arrival of Placidia, a swift messenger announced the death of Honorius, the consequence of a dropsy; but the important secret was not divulged, till the necessary orders had been despatched for the march of a large body of troops to the seacoast of Dalmatia.
The shops and the gates of Constantinople remained shut during seven days; and the loss of a foreign prince, who could neither be esteemed nor regretted,  was celebrated with loud and affected demonstrations of the public grief.
",Death of Honorius Valentinian III. Emperor of the West Administration of his Mother Placidia Aetius and Boniface Conquest of Africa by the Vandals
33,1157,ch34pa01,"
The Huns, A.D. 376-433
The Western world was oppressed by the Goths and Vandals, who fled before the Huns; but the achievements of the Huns themselves were not adequate to their power and prosperity.
Their victorious hordes had spread from the Volga to the Danube; but the public force was exhausted by the discord of independent chieftains; their valour was idly consumed in obscure and predatory excursions; and they often degraded their national dignity by condescending, for the hopes of spoil, to enlist under the banners of their fugitive enemies.
In the reign of Attila, the Huns again became the terror of the world; and I shall now describe the character and actions of that formidable Barbarian, who  alternately insulted and invaded the East and the West, and urged the rapid downfall of the Roman empire.
","The Character, Conquests, and Court of Attila, King of the Huns Death of Theodosius the Younger Elevation of Marcian to the Empire of the East"
34,1175,ch35pa01,"
Attila threatens both empires, and prepares to invade Gaul, A.D. 450.
It was the opinion of Marcian that war should be avoided, as long as it is possible to preserve a secure and honourable peace; but it was likewise his opinion that peace cannot be honourable or secure, if the sovereign betrays a pusillanimous aversion to war.
This temperate courage dictated his reply to the demands of Attila, who insolently pressed the payment of the annual tribute.
The emperor signified to the Barbarians that they must no longer insult the majesty of Rome, by the mention of a tribute; that he was disposed to reward with becoming liberality the faithful friendship of his allies; but that if they presumed to violate the public peace, they should feel that he possessed troops, and arms, and resolution, to repel their attacks.
The same language, even in the camp of the Huns, was used by his ambassador Apollonius, whose bold refusal to deliver the presents, till he had been admitted to a personal interview, displayed a sense of dignity, and a contempt of danger, which Attila was not prepared to expect from the degenerate Romans.
He threatened to chastise the rash successor of Theodosius; but he hesitated whether he should first direct his invincible arms against the Eastern or the Western empire.
While mankind awaited his decision with awful suspense, he sent an equal defiance to the courts of Ravenna and Constantinople, and his ministers saluted the two emperors with the same haughty declaration.
Attila, my Lord, and thy lord, commands thee to provide a palace for  his immediate reception.
But, as the Barbarian despised, or affected to despise, the Romans of the East, whom he had so often vanquished, he soon declared his resolution of suspending the easy conquest, till he had achieved a more glorious and important enterprise.
In the memorable invasions of Gaul and Italy, the Huns were naturally attracted by the wealth and fertility of those provinces; but the particular motives and provocations of Attila can only be explained by the state of the Western empire under the reign of Valentinian, or, to speak more correctly, under the administration of Aetius.
","Invasion of Gaul by Attila He is repulsed by Aetius and the Visigoths Attila invades and evacuates Italy The deaths of Attila, Aetius, and Valentinian the Third"
35,1193,ch36pa01,"
Naval power of the Vandals, A.D. 439-455
The loss or desolation of the provinces, from the ocean to the Alps, impaired the glory and greatness of Rome; her internal prosperity was irretrievably destroyed by the separation of Africa.
The rapacious Vandals confiscated the patrimonial estates of the senators, and intercepted the regular subsidies which relieved the poverty, and encouraged the idleness, of the plebeians.
The distress of the Romans was soon aggravated by an unexpected attack; and the province, so long cultivated for their use by industrious and obedient subjects, was armed against them by an ambitious Barbarian.
The Vandals and Alani, who followed the successful standard of Genseric, had acquired a rich and fertile territory, which stretched along the coast above ninety days' journey from Tangier to Tripoli; but their narrow limits were pressed and confined, on either side, by the sandy desert and the Mediterranean.
The discovery and conquest of the Black nations, that might dwell beneath the torrid zone, could not tempt the rational ambition of Genseric; but he cast his eyes towards the sea; he resolved to create a naval power; and his bold resolution was executed with steady and active perseverance.
The woods of Mount Atlas afforded an inexhaustible nursery of timber; his new subjects were skilled in the arts of navigation and shipbuilding;  he animated his daring Vandals to embrace a mode of warfare which would render every maritime country accessible to their arms; the Moors and Africans were allured by the hopes of plunder; and, after an interval of six centuries, the fleets that issued from the port of Carthage again claimed the empire of the Mediterranean.
The success of the Vandals, the conquest of Sicily, the sack of Palermo, and the frequent descents on the coast of Lucania awakened and alarmed the mother of Valentinian and the sister of Theodosius.
Alliances were formed; and armaments, expensive and ineffectual, were prepared, for the destruction of the common enemy, who reserved his courage to encounter those dangers which his policy could not prevent or elude.
The designs of the Roman government were repeatedly baffled by his artful delays, ambiguous promises, and apparent concessions; and the interposition of his formidable confederate, the king of the Huns, recalled the emperors from the conquest of Africa to the care of their domestic safety.
The revolutions of the palace, which left the Western empire without a defender and without a lawful prince, dispelled the apprehensions, and stimulated the avarice, of Genseric.
He immediately equipped a numerous fleet of Vandals and Moors, and cast anchor at the mouth of the Tiber, about three months after the death of Valentinian and the elevation of Maximus to the Imperial throne.
","Sack of Rome by Genseric, King of the Vandals His naval Depredations Succession of the last Emperors of the West, Maximus, Avitus, Majorian, Severus, Anthemius, Olybrius, Glycerius, Nepos, Augustulus Total Extinction of the Western Empire Reign of Odoacer, the first Barbarian King of Italy"
36,1227,ch37pa01,"
Origin of the monks.
The indissoluble connection of civil and ecclesiastical affairs has compelled and encouraged me to relate the progress, the persecutions, the establishment, the divisions, the final triumph, and the gradual corruption of Christianity.
I have purposely delayed the consideration of two religious events, interesting in the study of human nature, and important in the decline and fall of the Roman empire: I. The institution of the monastic life; and, II. The conversion of the Northern Barbarians.
","Origin, Progress, and Effects of the Monastic Life Conversion of the Barbarians to Christianity and Arianism Persecution of the Vandals in Africa Extinction of Arianism among the Barbarians"
37,1258,ch38pa01,"
The revolution of Gaul
The Gauls, who impatiently supported the Roman yoke, received a memorable lesson from one of the lieutenants of Vespasian, whose weighty sense has been refined and expressed by the genius of Tacitus.
The protection of the republic has delivered Gaul from internal discord and foreign invasions.
By the loss of national independence, you have acquired the name and privileges of Roman citizens.
You enjoy, in common with ourselves, the permanent benefits of civil government; and your remote situation is less exposed to the accidental mischiefs of tyranny.
Instead of exercising the rights of conquest, we have been contented to impose such tributes as are requisite for your own preservation.
Peace cannot be secured without armies; and armies must be supported at the expense of the people.
It is for your sake, not for our own, that we guard the barrier of the Rhine against  the ferocious Germans, who have so often attempted, and who will always desire, to exchange the solitude of their woods and morasses for the wealth and fertility of Gaul.
The fall of Rome would be fatal to the provinces; and you would be buried in the ruins of that mighty fabric which has been raised by the valour and wisdom of eight hundred years.
Your imaginary freedom would be insulted and oppressed by a savage master; and the expulsion of the Romans would be succeeded by the eternal hostilities of the Barbarian conquerors.
This salutary advice was accepted, and this strange prediction was accomplished.
In the space of four hundred years, the hardy Gauls, who had encountered the arms of Caesar, were imperceptibly melted into the general mass of citizens and subjects; the Western empire was dissolved; and the Germans, who had passed the Rhine, fiercely contended for the possession of Gaul, and excited the contempt or abhorrence of its peaceful and polished inhabitants.
With that conscious pride which the pre-eminence of knowledge and luxury seldom fails to inspire, they derided the hairy and gigantic savages of the North, — their rustic manners, dissonant joy, voracious appetite, and their horrid appearance, equally disgusting to the sight and to the smell.
The liberal studies were still cultivated in the schools of Autun and Bordeaux; and the language of Cicero and Virgil was familiar to the Gallic youth.
Their ears were astonished by the harsh and unknown sounds of the Germanic dialect, and they ingeniously lamented that the trembling muses fled from the harmony of a Burgundian lyre.
The Gauls were endowed with all the advantages of art and nature; but, as they wanted courage to defend them, they were justly condemned to obey, and even to flatter, the victorious Barbarians,  by whose clemency they held their precarious fortunes and their lives.
","Reign and Conversion of Clovis His Victories over the Alemanni, Burgundians, and Visigoths Establishment of the French Monarchy in Gaul Laws of the Barbarians State of the Romans The Visigoths of Spain Conquest of Britain by the Saxons"
38,1311,ch39pa01,"
After the fall of the Roman empire in the West, an interval of fifty years, till the memorable reign of Justinian, is faintly marked by the obscure names and imperfect annals of Zeno, Anastasius, and Justin, who successively ascended the throne of Constantinople.
During the same period, Italy revived and flourished under the government of a Gothic king, who might have deserved a statue among the best and bravest of the ancient Romans.
","Zeno and Anastasius, Emperors of the East Birth, Education, and first Exploits of Theodoric the Ostrogoth His Invasion and Conquest of Italy The Gothic Kingdom of Italy State of the West Military and Civil Government The Senator Boethius Last Acts and Death of Theodoric"
39,1332,ch40pa01,"
Birth of the emperor Justinian, A.D. 482, May 5 - or A.D. 483 , may 11.
The emperor Justinian was born near the ruins of Sardica (the modern Sophia), of an obscure race of Barbarians,  the inhabitants of a wild and desolate country, to which the names of Dardania, of Dacia, and of Bulgaria have been successively applied.
His elevation was prepared by the adventurous spirit of his uncle Justin, who, with two other peasants of the same village, deserted, for the profession of arms, the more useful employment of husbandmen or shepherds.
On foot, with a scanty provision of biscuit in their knapsacks, the three youths followed the highroad of Constantinople, and were soon enrolled, for their strength and stature, among the guards of the emperor Leo.
Under the two succeeding reigns, the fortunate peasant emerged to wealth and honours; and his escape from some dangers which threatened his life was afterwards ascribed to the guardian angel who watches over the fate of kings.
His long and laudable service in the Isaurian and Persian wars would not have preserved from oblivion the name of Justin; yet they might warrant the military promotion which in the course of fifty years he gradually obtained; the rank of tribune, of count, and of general, the dignity of senator, and the command of the guards, who obeyed him as their chief, at the important crisis when the emperor Anastasius was removed from the world.
The powerful kinsmen whom he had raised and enriched were excluded from the throne; and the eunuch Amantius, who reigned in the palace, had secretly  resolved to fix the diadem on the head of the most obsequious of his creatures.
A liberal donative, to conciliate the suffrage of the guards, was entrusted for that purpose in the hands of their commander.
Elevation and reign of his uncle Justin I., A.D. 518, July 10; A.D. 527, April 1 - or August 1.
But these weighty arguments were treacherously employed by Justin in his own favour; and, as no competitor presumed to appear, the Dacian peasant was invested with the purple, by the unanimous consent of the soldiers who knew him to be brave and gentle, of the clergy and people who believed him to be orthodox, and of the provincials who yielded a blind and implicit submission to the will of the capital.
The elder Justin, as he is distinguished from another emperor of the same family and name, ascended the Byzantine throne at the age of sixty-eight years; and, had he been left to his own guidance, every moment of a nine years' reign must have exposed to his subjects the impropriety of their choice.
His ignorance was similar to that of Theodoric; and it is remarkable that, in an age not destitute of learning, two contemporary monarchs had never been instructed in the knowledge of the alphabet.
But the genius of Justin was far inferior to that of the Gothic king; the experience of a soldier had not qualified him for the government of an empire; and, though personally brave, the consciousness of his own weakness was naturally attended with doubt, distrust, and political apprehension.
But the official business of the state was diligently and faithfully transacted by the quaestor Proclus: and the aged emperor adopted the talents and ambition of his nephew Justinian, an aspiring youth, whom his uncle had drawn from the rustic solitude of Dacia, and educated at Constantinople, as the heir of his private fortune, and at length of the Eastern empire.
","Elevation of Justin the Elder Reign of Justinian: I. The Empress Theodora II. Factions of the Circus, and Sedition of Constantinople III. Trade and Manufacture of Silk IV. Finances and Taxes V. Edifices of Justinian Church of St. Sophia Fortifications and Frontiers of the Eastern Empire Abolition of the Schools of Athens, and the Consulship of Rome"
40,1363,ch41pa01,"
Justininain resolves to invade Africa, A.D. 533
When Justinian ascended the throne, about fifty years after the fall of the Western empire, the kingdom of the Goths and Vandals had obtained a solid and, as it might seem, a legal establishment both in Europe and Africa.
The titles which Roman victory had inscribed were erased with equal justice by the sword of the Barbarians; and their successful rapine derived a more venerable sanction from time, from treaties, and from the oaths of fidelity, already repeated by a second or third generation of obedient subjects.
Experience and Christianity had refuted the superstitious hope that Rome was founded by the gods to reign for ever over the nations of the earth.
But the proud claim of perpetual and indefeasible dominion, which her soldiers could no longer maintain, was firmly asserted by her statesmen and lawyers, whose opinions have been sometimes revived and propagated in the modern schools of jurisprudence.
After Rome herself had been stripped of the Imperial purple, the princes of Constantinople assumed the sole and sacred sceptre of the monarchy; demanded, as their rightful inheritance, the provinces which had been subdued by the consuls or possessed by the Caesars; and feebly aspired to deliver their faithful subjects of the West from the usurpation of heretics  and Barbarians.
The execution of this splendid design was in some degree reserved for Justinian.
During the five first years of his reign, he reluctantly waged a costly and unprofitable war against the Persians; till his pride submitted to his ambition, and he purchased, at the price of four hundred and forty thousand pounds sterling, the benefit of a precarious truce, which, in the language of both nations, was dignified with the appellation of the endless peace.
The safety of the East enabled the emperor to employ his forces against the Vandals; and the internal state of Africa afforded an honourable motive, and promised a powerful support, to the Roman arms.
","Conquests of Justinian in the West Character and first Campaigns of Belisarius He invades and subdues the Vandal Kingdom of Africa His Triumph The Gothic War He recovers Sicily, Naples, and Rome Siege of Rome by the Goths Their Retreat and Losses Surrender of Ravenna Glory of Belisarius His domestic Shame and Misfortunes"
